0,1,2,3,4,names,filenames
0.06634692,-0.036362223,-1.3571029,-0.111974314,-1.1507499,Nokia,pets/25955_NokiaCircle1.jpg
-0.26121616,0.038458936,0.04607388,-0.24309157,0.2655313,Wolfie,pets/38895_WolfieNew1Circle.jpg
0.4560682,-0.1947778,-0.70200574,-0.2615153,0.009545621,Lavender,pets/46936_Lavender_Circle.jpg
-0.17714275,0.10395003,-1.096233,-0.22853376,-1.0935915,Pecos,pets/48786_PecosCircle.jpg
0.023937054,0.16967538,-0.70864177,-0.24656475,-0.3975737,Mumu,pets/49909_Mumu_FosterCircle.jpg
-0.45647323,0.24339445,1.822951,0.7179983,0.47079176,Chestnut,pets/50491_Chestnut_Circle.jpg
-0.59833956,0.5501267,-0.5042614,-0.91075,-0.4981926,Welles,pets/55396_Welles_circle.jpg
0.15200691,-0.00907338,-0.231504,0.27292326,-0.09620954,Kali,pets/55426_Kali_circle2.jpg
-0.22780815,0.17334494,0.5637202,0.24946171,0.45858875,Brody,pets/55805_Brody_Circle.jpg
-0.028918896,-0.1872277,0.07379937,0.13945454,0.15637358,Jay,pets/57782_Jay_circle3.jpg
-0.61424243,0.19876865,-0.8807313,-0.5026896,-0.582822,Bijou,pets/60122_Bijou_circle2.jpg
-0.022339663,0.19306284,-0.9008209,-0.25125396,-0.7728983,August,pets/63062_August_circle2.jpg
0.015208125,-0.001829341,-0.9780508,-0.5036464,0.059891887,Moo,pets/63172_Moo_Circle.jpg
-0.279199,0.14214343,0.42356077,0.13212532,0.3137434,Zara,pets/63795_Zara2_Circle.jpg
-0.18939286,0.10217374,-0.48064768,0.6362097,-0.023414172,Benedict,pets/63983_Benedict_circle2.jpg
-0.67079216,1.1084094,1.0480039,0.4360782,-0.10028185,Quincy,pets/63991_Quincy2_Circle.jpg
-0.30620846,0.61768043,-1.3219359,-0.52953076,-1.5727711,Quest,pets/63992_Quest2_Circle.jpg
0.5807108,-0.49934503,-1.3480481,0.050432593,-0.92010957,Clancy,pets/64362_Clancy_circle2.jpg
-0.24385907,0.1461403,-0.086197995,-0.15663591,0.009231164,Topaz,pets/64381_Topaz_circle2.jpg
-0.2885796,0.34949014,0.054499388,-0.08571899,-0.04102017,Josh,pets/64433_Josh2_Circle.jpg
-1.3452919,1.1526339,-1.1263268,1.9917128,-0.14890699,Gumdrop,pets/64445_Gumdrop_circle2.jpg
-0.52075696,0.5185657,-0.53745943,-0.26278856,-0.7609404,Knox,pets/64483_Knox_circle.jpg
-1.891089,1.2622738,1.3819901,1.960543,0.78601533,Tilda,pets/64566_Tilda_circle.jpg
-0.3481691,0.1455459,0.787608,0.01085652,0.7576778,Dizzy,pets/64651_Dizzy_circle2.jpg
0.07348037,-0.15608463,-1.3239974,-0.66369605,-1.5101893,Taichi,pets/64741_Taichi_circle.jpg
-0.4537775,0.36607012,-0.0407223,0.11397566,0.799595,Otto,pets/647820_Otto_circle2.jpg
-0.25727913,-0.5008741,-0.1046736,0.83094096,0.3392929,Ora,pets/64851_Ora4_Circle.jpg
-0.33165213,0.24614592,-0.4654262,1.3766122,0.0670334,Mick,pets/64852_Mick4_Circle.jpg
-0.3924266,0.7954257,0.37118524,0.11640038,0.021453124,Adele,pets/64854_Adele_Circle1.jpg
-1.0729696,1.0693747,1.5331604,2.0406933,1.136831,Lara,pets/64888_Lara_circle2.jpg
-0.40073085,0.02113571,-0.4195169,-0.54950124,0.19257605,Dannon,pets/64894_Dannon_circle2.jpg
-0.35430622,0.062798806,0.4500979,0.11239168,0.71844864,Flash,pets/64899_Flash__circle.jpg
-0.53791547,0.68711793,0.025773697,0.113347836,-0.52493215,Calvin,pets/64904_Calvin_Circle.jpg
-0.22277492,0.46795657,0.23787859,-0.5813022,0.05971725,Bluma,pets/64916_Bluma2_Circle.jpg
0.34588924,-0.13732794,-1.1455415,0.18122567,-0.7435951,Barrington,pets/64917_Barrington2_Circle.jpg
-0.37107792,0.6285909,0.4135966,0.057451837,0.2878178,Arlo,pets/64925_Arlo1_circle.jpg
-0.24323185,0.46561447,-0.3509662,-0.2514047,-0.36665118,Ramona,pets/64941_Ramona_circle.jpg
-0.09410846,0.23006259,-0.56372833,0.22845098,-0.23209828,Alistar,pets/64963_Alistar2_Circle.jpg
-0.57979995,0.24226761,-0.68657774,0.17448823,-0.083811864,Hammond,pets/64971_Hammond_circle2.jpg
-0.36595258,0.17465417,-0.3450302,-0.084396735,-0.34013212,Tortie,pets/64982_Tortie2_Circle.jpg
-0.038822353,0.055176053,0.11083882,0.37759882,0.26748425,Gromit,pets/65001_Gromit_circle2.jpg
-0.44975215,0.62439156,-0.9550254,0.32624954,-0.2658295,Joelle,pets/65006_Joelle2_Circle.jpg
-0.5221981,1.2086896,-0.83527154,-0.16206807,-0.21432075,Dianne,pets/65018_Dianne_circle.jpg
-0.17482327,0.6786414,-0.9961624,0.6735947,0.13206086,Dino,pets/65019_Dino2_Circle.jpg
-0.06920039,-0.0942286,0.63119024,0.42419773,0.4463281,Enrique,pets/65024_Enrique2_Circle.jpg
-0.12888339,0.21476048,-1.0190423,-0.18053001,-1.2341417,Cal,pets/65027_Cal_Circle.jpg
0.094548926,-0.033392705,-1.065035,-0.34842494,-1.1199629,Brigham,pets/65032_Brigham2_Circle.jpg
-1.2819073,1.3129388,1.0514064,0.42230776,0.49972585,Mahra,pets/65049_Mahra_Circle2.jpg
-0.8498825,0.8228296,0.2822572,0.05678473,-0.1746609,Juni,pets/65064_Juni2_Circle.jpg
0.23076046,0.0996931,-0.2787338,-0.010782782,-0.20678602,Grant,pets/65090_Grant2_Circle.jpg
0.12999257,-0.26784667,-0.09831828,0.3225725,-0.03466203,Spring,pets/6684_Spring2_Circle.jpg
-0.7474901,0.26843464,1.2762326,0.51145124,0.7284725,Laurie,pets/6925_Laurie_circle2.jpg
-0.39070383,1.1232746,-0.9616684,-0.66451275,-0.7227046,Pop,pets/8768_Pop_circle.jpg
