0,1,2,3,4,names,filenames,links
-0.22130474,-0.005996816,-0.63281935,-0.769261,-0.3226891,Emme,paws_images/65028_Emme_circle2.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/emme-1/
-1.2963762,0.5778265,-0.9873909,-0.24857354,-0.54139555,Patsy,paws_images/65376_Patsy_Circle.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/patsy-5/
0.018273307,0.14790258,-0.36516756,0.36174452,-0.10437964,Ion,paws_images/65348_Ion_circle.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/ion-2/
-1.3852831,1.1981754,-0.08803424,-1.2432692,-0.13218655,Kono,paws_images/63784_Kono_circle3.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/kono-1/
-0.2833662,0.46921557,-0.86948293,-0.34028393,-1.0001014,Eris,paws_images/65024_Eris_circle2.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/eris-2/
-0.12705214,0.1986741,0.7841855,0.42006886,0.5059178,Muffin,paws_images/64546_Muffin_circle2.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/muffin-6/
-0.016683113,0.2587441,-0.64061517,0.017185714,-0.6233488,Samantha,paws_images/25929_Samantha_circle3.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/samantha-7/
0.007038515,0.10654342,-0.9061202,-0.42394617,-0.6250684,Ralph,paws_images/63801_Ralph5_Circle.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/ralph-5/
-0.7675582,0.1579872,-1.3096186,-0.43284488,-0.4907871,Erica,paws_images/65021_Erica_circle2.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/erica-3/
0.49985263,-0.42080945,-0.10855624,0.549957,0.3647117,Tansy,paws_images/64737_Tansy2_Circle.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/tansy-1/
-0.43063828,0.66564524,0.023013517,-0.17495504,-0.41691366,Xantera,paws_images/Xantera_14597_circle.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/xantera/
-0.59833956,0.5501267,-0.5042614,-0.91075,-0.4981926,Welles,paws_images/welles_55396_circle.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/welles/
0.094548926,-0.033392705,-1.065035,-0.34842494,-1.1199629,Brigham,paws_images/65032_Brigham2_Circle.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/brigham/
0.14330912,0.008810207,-0.009875959,0.109326795,-0.23455459,Peaches,paws_images/64884_Peaches_circle2.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/peaches-6/
-0.5832449,0.9548716,-0.9434225,-0.80176014,-0.48123166,Pippa,paws_images/65450_Pippa_circle.jpg,http://www.pawschicago.org/pet-available-for-adoption/showcat/pippa-2/
-0.11435155,-0.07786948,0.6037927,0.46768075,0.6217342,Leroy,paws_images/62894_Leroy_circle.jpg,http://www.pawschicago.org/pet-available-for-adoption/showdog/leroy-1/
-0.079726085,0.033464957,-0.4305128,-0.065645024,-0.4321845,Finch,paws_images/49897_FinchAdoptionCircle.jpg,http://www.pawschicago.org/pet-available-for-adoption/showdog/finch-1/
-0.22780815,0.17334494,0.5637202,0.24946171,0.45858875,Brody,paws_images/55805_Brody_Circle_new_1.jpg,http://www.pawschicago.org/pet-available-for-adoption/showdog/brody-2/
